,age,ast_per_g,blk_per_g,drb_per_g,efg_pct,fg2_pct,field_goal_percentage,field_goals_attempts_per_game,field_goals_per_game,ft_pct,ft_per_g,fta_per_g,games,games_started,league,minutes_played_per_game,orb_per_g,pf_per_g,point_2_filed_goals_attempts_per_game,point_2_filed_goals_per_game,point_3_field_goal_per_game,point_3_field_goal_percentage,position,pts_per_g,season,stl_per_g,team,tov_per_g,trb_per_g
0,22,4.5,0.6,2.7,.475,.477,.465,13.1,34.9,.747,3.8,5.1,61,56,NBA,34.9,1.4,2.3,12.2,5.8,0.3,.302,PG,16.2,2003-04,1.4,MIA,3.2,4.0
1,23,6.8,1.1,3.7,.483,.485,.478,17.1,38.6,.762,7.5,9.9,77,77,NBA,38.6,1.4,3.0,16.5,8.0,0.2,.289,SG,24.1,2004-05,1.6,MIA,4.2,5.2
2,24,6.7,0.8,4.3,.499,.513,.495,18.8,38.6,.783,8.4,10.7,75,75,NBA,38.6,1.4,2.9,17.8,9.1,0.2,.171,SG,27.2,2005-06,1.9,MIA,3.6,5.7
3,25,7.5,1.2,3.7,.502,.511,.491,18.9,37.9,.807,8.5,10.5,51,50,NBA,37.9,1.0,2.3,17.3,8.8,0.4,.266,SG,27.4,2006-07,2.1,MIA,4.2,4.7
4,26,6.9,0.7,3.3,.480,.485,.469,18.4,38.3,.758,6.9,9.2,51,49,NBA,38.3,0.9,2.7,16.9,8.2,0.4,.286,SG,24.6,2007-08,1.7,MIA,4.4,4.2
5,27,7.5,1.3,3.9,.516,.524,.491,22.0,38.6,.765,7.5,9.8,79,79,NBA,38.6,1.1,2.3,18.5,9.7,1.1,.317,SG,30.2,2008-09,2.2,MIA,3.4,5.0
6,28,6.5,1.1,3.5,.500,.509,.476,19.6,36.3,.761,6.9,9.1,77,77,NBA,36.3,1.4,2.4,16.5,8.4,0.9,.300,SG,26.6,2009-10,1.8,MIA,3.3,4.8
7,29,4.6,1.1,4.8,.523,.534,.500,18.2,37.1,.758,6.5,8.6,76,76,NBA,37.1,1.6,2.6,15.5,8.3,0.8,.306,SG,25.5,2010-11,1.5,MIA,3.1,6.4
8,30,4.6,1.3,3.3,.506,.513,.497,17.1,33.2,.791,4.8,6.1,49,49,NBA,33.2,1.5,2.2,15.9,8.2,0.3,.268,SG,22.1,2011-12,1.7,MIA,2.6,4.8
9,31,5.1,0.8,3.7,.528,.537,.521,15.8,34.7,.725,4.5,6.2,69,69,NBA,34.7,1.2,2.0,14.9,8.0,0.2,.258,SG,21.2,2012-13,1.9,MIA,2.8,5.0
10,32,4.7,0.5,3.4,.551,.557,.545,14.1,32.9,.733,3.5,4.8,54,53,NBA,32.9,1.1,2.0,13.5,7.5,0.2,.281,SG,19.0,2013-14,1.5,MIA,3.0,4.5
11,33,4.8,0.3,2.6,.483,.489,.470,17.5,31.8,.768,4.6,6.0,62,62,NBA,31.8,0.9,1.7,15.8,7.7,0.5,.284,SG,21.5,2014-15,1.2,MIA,3.4,3.5
12,34,4.6,0.6,3.0,.459,.468,.456,16.0,30.5,.793,4.4,5.5,74,73,NBA,30.5,1.1,1.6,15.4,7.2,0.1,.159,SG,19.0,2015-16,1.1,MIA,2.7,4.1
13,35,3.8,0.7,3.5,.457,.456,.434,15.9,29.9,.794,3.7,4.7,60,59,NBA,29.9,1.1,1.9,13.5,6.2,0.8,.310,SG,18.3,2016-17,1.4,CHI,2.3,4.5
14,36,3.4,0.7,3.0,.462,.468,.438,10.2,22.9,.714,2.0,2.8,67,3,NBA,22.9,0.7,1.9,8.5,4.0,0.5,.288,SG,11.4,2017-18,0.9,,2.1,3.8
15,36,3.5,0.7,3.1,.482,.479,.455,9.5,23.2,.701,2.0,2.9,46,3,NBA,23.2,0.8,1.8,7.9,3.8,0.5,.329,SG,11.2,2017-18,0.9,CLE,2.0,3.9
16,36,3.1,0.7,2.9,.427,.447,.409,11.8,22.2,.745,2.0,2.6,21,0,NBA,22.2,0.5,1.9,9.8,4.4,0.4,.220,SG,12.0,2017-18,0.9,MIA,2.3,3.4
17,37,3.9,0.6,2.6,.478,.454,.418,13.1,26.0,.672,2.4,3.5,19,0,NBA,26.0,1.1,1.9,8.6,3.9,1.6,.349,SG,14.9,2018-19,0.6,MIA,2.4,3.6
